num_day,actual_rr,actual_arpu
1,1,3.5
2,0.288108759,7.1
3,0.19101418,8.1
4,0.148994474,10.7
5,,9.7
6,,8.7
7,,9.4
8,,12.8
9,,10.9
10,,8.6
11,,7.4
12,,12
13,,14.9
14,,14.3
15,,7.4
16,,10.1
17,,7.1
18,,5.7
19,,6.4
20,,6.3
21,,23
22,,8.8
23,,4.9
24,,13.4
25,,7.4
26,,9.4
27,,10.2
28,,20
29,,13.4
30,,9.2
31,,8.1
32,,2.6
33,,2.1
34,,3.2
35,,3.5
36,,6.4
37,,7.5
38,,4.3
39,,3.9
40,,10.2
41,,5.3
42,,5.4
43,,4.4
44,,2.6
45,,8.2
46,,2.9
47,,3.1
48,,6.3
49,,8.6
50,,7.7
51,,4.9
52,,10.8
53,,4.5
54,,5.3
55,,5.3
56,,9.9
57,,4.9
58,,4
59,,12.9
60,,17.2
61,,14.6
62,,11.6
63,,8.5
64,,2.3
65,,8.1
66,,11.9
67,,9.2
68,,7.3
69,,4.8
70,,11.2
71,,6.1
72,,4.4
73,,3.1
74,,6.1
75,,16.4
76,,2
77,,6.1
78,,1.5
79,,5.5
80,,3.8
81,,3.7
82,,7
83,,7.1
84,,7.1
85,,16.2
86,,4.2
87,,7.4
88,,5.2
89,,25.5
90,,15.1
